               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.126,             0.05745,                   0,           0.0026667,                0.16,           0.0015511,          0.00035037,             0.12669,            0.078247,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.11956,            0.059756,                   0,               0.001,                0.06,          0.00071777,          0.00010714,             0.12171,            0.090753,                   0,            0.064128,           0.0031278,           0.0031278
                   2,             0.11516,            0.069144,                   0,               0.002,                0.12,           0.0012208,          0.00031382,             0.11996,            0.091474,                   0,            0.044564,           0.0035636,           0.0035636
                   3,             0.11633,            0.069562,                   0,               0.006,                0.36,           0.0045761,           0.0012145,              0.1072,             0.10695,                   0,            0.024207,           0.0032074,           0.0032074
                   4,             0.11014,            0.074439,                   0,               0.006,                0.36,           0.0045761,           0.0012145,              0.1072,             0.10695,                   0,           0.0030592,           0.0020592,           0.0020592
